idNumber;personName;username;email;password;purchases;paymentMethods;adresses;vatNumber;role;lastConnection;scoresGiven
3001;"""Liam Smith"",";"""SkyWalker123"",";"""john.doe@example.com"",";passwordTest123!@;4000 4065;;"{""address"": ""123 Main St, Jerez de la Frontera, Andalucía, España""},";4439017;;;64
3002;"""Olivia Johnson"",";"""OceanBreeze45"",";"""jane.smith@example.com"",";passwordTest123!@;4057;;"  {""address"": ""456 Elm St, Madrid, Comunidad de Madrid, España""},";4991192;;;69
3003;"""Noah Williams"",";"""MysticMoon88"",";"""michael.brown@example.com"",";passwordTest123!@;4076;;"  {""address"": ""789 Oak St, Barcelona, Cataluña, España""},";4050216;;;27
3004;"""Emma Brown"",";"""StarGazer77"",";"""emily.jones@example.com"",";passwordTest123!@;4082;;"  {""address"": ""101 Pine St, Valencia, Comunidad Valenciana, España""},";4190608;;;10
3005;"""Oliver Jones"",";"""DreamCatcher22"",";"""david.wilson@example.com"",";passwordTest123!@;4094;;"  {""address"": ""202 Maple St, Sevilla, Andalucía, España""},";4082768;;;41
3006;"""Ava Garcia"",";"""ThunderBolt99"",";"""sarah.davis@example.com"",";passwordTest123!@;4085;;"  {""address"": ""303 Cedar St, Zaragoza, Aragón, España""},";4731472;;;81
3007;"""Elijah Miller"",";"""CosmicVoyager"",";"""chris.martin@example.com"",";passwordTest123!@;4017;;"  {""address"": ""404 Birch St, Málaga, Andalucía, España""},";4276981;;;82
3008;"""Sophia Davis"",";"""LunarEclipse"",";"""laura.moore@example.com"",";passwordTest123!@;4068;;"  {""address"": ""505 Walnut St, Murcia, Región de Murcia, España""},";4245112;;;89
3009;"""James Martinez"",";"""SolarFlare"",";"""daniel.taylor@example.com"",";passwordTest123!@;4027;;"  {""address"": ""606 Chestnut St, Palma, Islas Baleares, España""},";4089304;;;47
3010;"""Isabella Rodriguez"",";"""GalacticTraveler"",";"""emma.anderson@example.com"",";passwordTest123!@;4005;;"  {""address"": ""707 Ash St, Las Palmas, Canarias, España""},";4141125;;;98
3011;"""William Hernandez"",";"""NebulaHunter"",";"""james.thomas@example.com"",";passwordTest123!@;4083;;"  {""address"": ""808 Willow St, Bilbao, País Vasco, España""},";4312144;;;89
3012;"""Mia Lopez"",";"""AstroNomad"",";"""olivia.jackson@example.com"",";passwordTest123!@;4030;;"  {""address"": ""909 Poplar St, Alicante, Comunidad Valenciana, España""},";4245112;;;72
3013;"""Benjamin Gonzalez"",";"""QuantumLeap"",";"""robert.white@example.com"",";passwordTest123!@;4062;;"  {""address"": ""1010 Cypress St, Córdoba, Andalucía, España""},";4050512;;;17
3014;"""Charlotte Wilson"",";"""PhotonBlaze"",";"""sophia.harris@example.com"",";passwordTest123!@;4052;;"  {""address"": ""1111 Redwood St, Valladolid, Castilla y León, España""},";4052197;;;50
3015;"""Lucas Anderson"",";"""CelestialWanderer"",";"""william.martinez@example.com"",";passwordTest123!@;4017;;"  {""address"": ""1212 Spruce St, Vigo, Galicia, España""},";4686056;;;66
3016;"""Amelia Thomas"",";"""StellarNavigator"",";"""isabella.thompson@example.com"",";passwordTest123!@;4064;;"  {""address"": ""1313 Fir St, Gijón, Asturias, España""},";4063824;;;41
3017;"""Henry Taylor"",";"""MeteorShower"",";"""charles.garcia@example.com"",";passwordTest123!@;4009;;"  {""address"": ""1414 Pine St, Hospitalet de Llobregat, Cataluña, España""},";4488976;;;97
3018;"""Harper Moore"",";"""CometChaser"",";"""mia.rodriguez@example.com"",";passwordTest123!@;4087;;"  {""address"": ""1515 Maple St, Vitoria-Gasteiz, País Vasco, España""},";4059261;;;5
3019;"""Alexander Jackson"",";"""PlanetExplorer"",";"""joseph.lee@example.com"",";passwordTest123!@;4087;;"  {""address"": ""1616 Cedar St, A Coruña, Galicia, España""},";4190608;;;92
3020;"""Evelyn Martin"",";"""GalaxyRider"",";"""amelia.walker@example.com"",";passwordTest123!@;4048;;"  {""address"": ""1717 Birch St, Granada, Andalucía, España""},";4266000;;;70
