idNumber;personName;username;email;password;purchases;paymentMethods;adresses;vatNumber;role;lastConnection;scoresGiven
U0000;"""Admin"",";"""admin"",";"""admin@admin.com"",";admin123!@;;;"{""-""},";;admin;4601368;;
U0001;"""Liam Smith"",";"""SkyWalker123"",";"""john.doe@example.com"",";passwordTest123!@;P0001;;"{""address"": ""123 Main St, Jerez de la Frontera, Andalucía, España""},";4601368;client;;1031
U0002;"""Olivia Johnson"",";"""OceanBreeze45"",";"""jane.smith@example.com"",";passwordTest123!@;P0002;;"  {""address"": ""456 Elm St, Madrid, Comunidad de Madrid, España""},";4074389;client;;1019
U0003;"""Noah Williams"",";"""MysticMoon88"",";"""michael.brown@example.com"",";passwordTest123!@;P0003;;"  {""address"": ""789 Oak St, Barcelona, Cataluña, España""},";4207464;client;;1099
U0004;"""Emma Brown"",";"""StarGazer77"",";"""emily.jones@example.com"",";passwordTest123!@;P0004;;"  {""address"": ""101 Pine St, Valencia, Comunidad Valenciana, España""},";4135184;client;;1015
U0005;"""Oliver Jones"",";"""DreamCatcher22"",";"""david.wilson@example.com"",";passwordTest123!@;P0005;;"  {""address"": ""202 Maple St, Sevilla, Andalucía, España""},";4060648;client;;1060
U0006;"""Ava Garcia"",";"""ThunderBolt99"",";"""sarah.davis@example.com"",";passwordTest123!@;P0006;;"  {""address"": ""303 Cedar St, Zaragoza, Aragón, España""},";4118921;client;;1004
U0007;"""Elijah Miller"",";"""CosmicVoyager"",";"""chris.martin@example.com"",";passwordTest123!@;P0007;;"  {""address"": ""404 Birch St, Málaga, Andalucía, España""},";4135184;client;;1057
U0008;"""Sophia Davis"",";"""LunarEclipse"",";"""laura.moore@example.com"",";passwordTest123!@;P0008;;"  {""address"": ""505 Walnut St, Murcia, Región de Murcia, España""},";4074389;client;;1076
U0009;"""James Martinez"",";"""SolarFlare"",";"""daniel.taylor@example.com"",";passwordTest123!@;P0009;;"  {""address"": ""606 Chestnut St, Palma, Islas Baleares, España""},";4216375;client;;1079
U0010;"""Isabella Rodriguez"",";"""GalacticTraveler"",";"""emma.anderson@example.com"",";passwordTest123!@;P0010;;"  {""address"": ""707 Ash St, Las Palmas, Canarias, España""},";4455224;client;;1006
U0011;"""William Hernandez"",";"""NebulaHunter"",";"""james.thomas@example.com"",";passwordTest123!@;P0011;;"  {""address"": ""808 Willow St, Bilbao, País Vasco, España""},";4364432;client;;1097
U0012;"""Mia Lopez"",";"""AstroNomad"",";"""olivia.jackson@example.com"",";passwordTest123!@;P0012;;"  {""address"": ""909 Poplar St, Alicante, Comunidad Valenciana, España""},";4543039;client;;1011
U0013;"""Benjamin Gonzalez"",";"""QuantumLeap"",";"""robert.white@example.com"",";passwordTest123!@;P0013;;"  {""address"": ""1010 Cypress St, Córdoba, Andalucía, España""},";4754969;client;;1022
U0014;"""Charlotte Wilson"",";"""PhotonBlaze"",";"""sophia.harris@example.com"",";passwordTest123!@;P0014;;"  {""address"": ""1111 Redwood St, Valladolid, Castilla y León, España""},";4060648;client;;1063
U0015;"""Lucas Anderson"",";"""CelestialWanderer"",";"""william.martinez@example.com"",";passwordTest123!@;P0015;;"  {""address"": ""1212 Spruce St, Vigo, Galicia, España""},";4096656;client;;1034
U0016;"""Amelia Thomas"",";"""StellarNavigator"",";"""isabella.thompson@example.com"",";passwordTest123!@;P0016;;"  {""address"": ""1313 Fir St, Gijón, Asturias, España""},";4058000;client;;1099
U0017;"""Henry Taylor"",";"""MeteorShower"",";"""charles.garcia@example.com"",";passwordTest123!@;P0017;;"  {""address"": ""1414 Pine St, Hospitalet de Llobregat, Cataluña, España""},";4225616;client;;1056
U0018;"""Harper Moore"",";"""CometChaser"",";"""mia.rodriguez@example.com"",";passwordTest123!@;P0018;;"  {""address"": ""1515 Maple St, Vitoria-Gasteiz, País Vasco, España""},";4803571;client;;1026
U0019;"""Alexander Jackson"",";"""PlanetExplorer"",";"""joseph.lee@example.com"",";passwordTest123!@;P0019;;"  {""address"": ""1616 Cedar St, A Coruña, Galicia, España""},";4052744;client;;1048
U0020;"""Evelyn Martin"",";"""GalaxyRider"",";"""amelia.walker@example.com"",";passwordTest123!@;P0020;;"  {""address"": ""1717 Birch St, Granada, Andalucía, España""},";4050729;client;;1038
U0021;"""Sebastian Lee"",";"""SpaceOdyssey"",";"""thomas.hall@example.com"",";passwordTest123!@;P0021;;"  {""address"": ""1818 Walnut St, Elche, Comunidad Valenciana, España""},";4488976;client;;1017
U0022;"""Abigail Perez"",";"""OrbitJumper"",";"""ava.young@example.com"",";passwordTest123!@;P0022;;"  {""address"": ""1919 Chestnut St, Oviedo, Asturias, España""},";4686056;client;;1012
U0023;"""Jack Thompson"",";"""RocketPilot"",";"""mark.king@example.com"",";passwordTest123!@;P0023;;"  {""address"": ""2020 Ash St, Badalona, Cataluña, España""},";4067576;client;;1021
U0024;"""Emily White"",";"""AlienSeeker"",";"""charlotte.wright@example.com"",";passwordTest123!@;P0024;;"  {""address"": ""2121 Willow St, Cartagena, Región de Murcia, España""},";4364432;client;;1092
U0025;"""Daniel Harris"",";"""AstroPilot"",";"""paul.scott@example.com"",";passwordTest123!@;P0025;;"  {""address"": ""2222 Poplar St, Terrassa, Cataluña, España""},";4664125;client;;1005
U0026;"""Scarlett Clark"",";"""StarshipCaptain"",";"""grace.green@example.com"",";passwordTest123!@;P0026;;"  {""address"": ""2323 Cypress St, Jerez de la Frontera, Andalucía, España""},";5020299;client;;1015
U0027;"""Matthew Lewis"",";"""Interstellar"",";"""steven.adams@example.com"",";passwordTest123!@;P0027;;"  {""address"": ""2424 Redwood St, Sabadell, Cataluña, España""},";4054913;client;;1100
